abc1234;29/05/2023;17:31
abc1234;29/05/2023;17:35
abc1234;29/05/2023;17:36
abc1234;29/05/2023;17:37
abc1234;29/05/2023;17:37
cba4321;29/05/2023;17:38
abc1234;29/05/2023;17:41
abc1234;29/05/2023;17:46
abc1234;29/05/2023;17:47
abc1234;29/05/2023;17:51
abc1234;29/05/2023;17:53
ABC1234;29/05/2023;17:56
ABC1234;29/05/2023;17:57
ABC1234;29/05/2023;17:58
ABC1234;29/05/2023;17:59
ABC1234;29/05/2023;17:59
ABC1234;29/05/2023;18:00
ABC1234;29/05/2023;18:01
abc1234;29/05/2023;18:07
abc1234;29/05/2023;18:07
cva4321;29/05/2023;18:09
abc1234;29/05/2023;18:13
ABC1234;29/05/2023;18:26
abc1234;29/05/2023;18:27
abc1234;29/05/2023;18:30
abc1234;29/05/2023;18:32
abc1234;29/05/2023;18:32
abc1234;29/05/2023;18:44
abc1234;29/05/2023;18:49
abc1234;29/05/2023;23:28
abc1234;29/05/2023;23:33
abc1234;29/05/2023;23:33
abc1234;29/05/2023;23:34
abc1234;29/05/2023;23:35
abc1234;29/05/2023;23:40
abc1234;29/05/2023;23:47
abc1234;29/05/2023;23:47
abc1234;29/05/2023;23:49
abc1234;29/05/2023;23:50
abc1234;29/05/2023;23:52
abc1234;29/05/2023;23:53
abc1234;29/05/2023;23:53
abc1234;29/05/2023;23:54
abc1234;29/05/2023;23:56
abc1234;30/05/2023;00:02
XYZ-789;30/05/2023;00:05
AAA1111;30/05/2023;00:06
abc1234;30/05/2023;00:12
abc1234;30/05/2023;00:12
abc1234;30/05/2023;00:27
abc1234;30/05/2023;00:31
abc1234;30/05/2023;00:33
abc1234;30/05/2023;00:34
